,Date,Customer Name,Item Number,Item  Description,Quantity,Unit Price
46499,1-Jul-20,HILTON  HOTEL  (NBI)  LTD,881949,PREMIUM BLUE,45,468
46500,1-Jul-20,HILTON  HOTEL  (NBI)  LTD,LF691A,OIL FILTER CELLULOSE,1,"5,772.00"
46501,1-Jul-20,HILTON  HOTEL  (NBI)  LTD,WF2076,DCA4 WATER FILTER,2,"3,214.84"
46502,1-Jul-20,HILTON  HOTEL  (NBI)  LTD,LF777,LUBE FILTER,2,"2,403.79"
46503,1-Jul-20,HILTON  HOTEL  (NBI)  LTD,AF872,AIR FILTER-PRIMARY,2,"15,817.96"
46504,1-Jul-20,HILTON  HOTEL  (NBI)  LTD,881949,PREMIUM BLUE,200,520
46505,1-Jul-20,HILTON  HOTEL  (NBI)  LTD,FS1006,FUEL/WATER SEPARATOR,2,"7,000.52"
46506,1-Jul-20,HILTON  HOTEL  (NBI)  LTD,LF3325,OIL FILTER CELLULOSE SPINON,5,"3,346.86"
46510,1-Oct-20,CAR & GENERAL TRADING (MSA)  - AFTERMARKET(KSH),LF3826,LUBE FILTER,3,650
46511,1-Oct-20,CASH SALES - CUMMINS,LF4054,LUBE FILTER,36,800
46512,1-Oct-20,CASH SALES - CUMMINS,LF667,LUBE FILTER,1,"1,100.00"
46513,1-Oct-20,CASH SALES - CUMMINS,FF231,FUEL FILTER,36,850
46514,1-Oct-20,LANGATA HOSPITAL,AF26186,AIR FILTER,1,"6,500.00"
46515,1-Oct-20,LANGATA HOSPITAL,FF5114,FUEL FILTER,1,"1,500.00"
46516,1-Oct-20,LANGATA HOSPITAL,881949,PREMIUM BLUE,10,520
46517,1-Oct-20,LANGATA HOSPITAL,LF16011,LUBE FILTER,1,"2,424.00"
46518,1-Oct-20,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,15,500
46519,1-Oct-20,C&G ENGINEERING  - AFTERMARKET(KSH),LF16011,LUBE FILTER,1,"3,625.00"
46520,1-Oct-20,C&G ENGINEERING  - AFTERMARKET(KSH),FF5114,FUEL FILTER,1,"1,175.00"
46521,1-Oct-20,C&G ENGINEERING  - AFTERMARKET(KSH),AF26186,AIR FILTER,1,"10,100.00"
46526,1-Oct-20,CASH SALES - CUMMINS,AF25904,AIR FILTER,1,"3,000.00"
46527,1-Oct-20,CASH SALES - CUMMINS,LF16087,LUBE FILTER,1,"1,150.00"
46532,1-Oct-20,NIC BANK,FF5018,FUEL FILTER (REP.FF4013),1,"2,647.00"
46534,1-Oct-20,NIC BANK,881949,PREMIUM BLUE,20,520
46538,1-Oct-20,CASH SALES - CUMMINS,AF25904,AIR FILTER,1,"4,500.00"
46541,1-Oct-20,CASH SALES - CUMMINS,LF700,LUBE FILTER,1,"1,200.00"
46542,1-Oct-20,MEMTECH ELECTRICAL SERVICES,AF25593,AIR FILTER,1,"9,939.00"
46544,1-Oct-20,CASH SALES - CUMMINS,AF26085JX,AIR FILTER,1,"1,600.00"
46545,1-Oct-20,CASH SALES - CUMMINS,LF16011,LUBE FILTER,1,"1,531.80"
46546,1-Oct-20,CASH SALES - CUMMINS,AF26086JX,AIR FILTER,1,"8,500.00"
46547,1-Oct-20,THE LAZIZI PREMIERE LTD,FS1040,FUEL FILTER,2,"6,232.00"
46548,1-Oct-20,THE LAZIZI PREMIERE LTD,881949,PREMIUM BLUE OIL,200,400
46549,1-Oct-20,THE LAZIZI PREMIERE LTD,WF2126,DCA4 WATER FILTER,2,"3,396.00"
46550,1-Oct-20,THE LAZIZI PREMIERE LTD,LF9070,LUBE FILTER,2,"4,450.00"
46551,1-Oct-20,THE LAZIZI PREMIERE LTD,AF25708,AIR FILTER,2,"8,000.00"
46553,1-Oct-20,DELIVERANCE CHURCH -UMOJA,881949,PREMIUM BLUE,15,520
46554,1-Oct-20,DELIVERANCE CHURCH -UMOJA,AF25910,AIR FILTER,1,"12,365.00"
