,Date,Customer Name,Item Number,Item  Description,Quantity,Unit Price
10158,2-Dec-18,CITIBANK HOUSE,881949,PREMIUM BLUE -1  LITRE,40,520
10159,2-Dec-18,CITIBANK HOUSE,LF3000,LUBE FILTER,1,"7,573.00"
10160,2-Dec-18,CITIBANK HOUSE,AF928M,AIR CLEANER,1,"13,236.00"
10161,2-Dec-18,CITIBANK HOUSE,WF2075,WATER FILTER,1,"5,430.00"
10163,2-Dec-18,CITIBANK HOUSE,LF1750200MX,CELLULOSE SPI,1,"3,366.00"
10164,2-Dec-18,CITIBANK HOUSE,FS19737,F/W/S,1,"6,316.00"
10165,2-Dec-18,CITIBANK HOUSE,FF5507,FUEL FILTER SPINON,1,"3,000.00"
10166,2-Dec-18,CITIBANK HOUSE,LF667,LUBE FILTER,2,"1,757.00"
10167,2-Dec-18,CITIBANK HOUSE,AF26249,AIR FILTER,1,"17,500.00"
10168,2-Dec-18,CITIBANK HOUSE,881949,PREMIUM BLUE -1  LITRE,60,520
10169,13-Feb-18,CITIBANK HOUSE,881949,PREMIUM BLUE -1  LITRE,35,520
10170,13-Feb-18,CITIBANK HOUSE,LF777,OIL FILTER CELLULOSE SPIN,1,"4,630.81"
10171,13-Feb-18,CITIBANK HOUSE,LF667,LUBE FILTER,1,"1,757.00"
10174,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AF26186,AIR FILTER-PRIMARY,1,"7,140.00"
10175,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,10,520
10176,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF16011,LUBE FILTER (Reps LF3855),1,"2,625.00"
10177,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),FF5114,FUEL FILTER SPINON,1,"5,880.00"
10178,13-Feb-18,CITIBANK HOUSE,AF25267,AIR FILTER-PRIMARY,1,"8,991.73"
10179,13-Feb-18,CITIBANK HOUSE,881949,PREMIUM BLUE -1  LITRE,20,500
10180,13-Feb-18,CITIBANK HOUSE,LF701,OIL FILTER,1,"2,083.81"
10181,13-Feb-18,CITIBANK HOUSE,FF5135,FUEL FILTER SPINON,1,"2,350.81"
10182,13-Feb-18,BROADBAND COMMUNICATION NETWORKS LT,FS1275,FUEL FILTER,50,"1,331.97"
10183,13-Feb-18,BROADBAND COMMUNICATION NETWORKS LT,LF700,OIL FILTER,50,810.26
10185,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),WF2074,WATER FILTER,2,"3,857.00"
10186,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF777,OIL FILTER CELLULOSE SPIN,2,"3,631.00"
10187,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF3363,OIL FILTER,5,"2,905.00"
10188,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,200,520
10190,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),FS1006,FUEL SEPARATOR,2,"8,097.00"
10191,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AH1135M,AIR CLEANER,2,"24,611.00"
10192,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,10,520
10193,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AF26186,AIR FILTER-PRIMARY,1,"4,200.00"
10194,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),FF5114,FUEL FILTER SPINON,1,"4,725.00"
10195,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF16011,LUBE FILTER (Reps LF3855),1,"2,100.00"
10196,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,15,520
10198,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AF25539,AIR FILTER,1,"7,800.00"
10199,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF701,OIL FILTER,1,"4,100.00"
10200,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,10,520
10201,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),FF5524,COALESCER FILTER CARTRIDGE METAL,2,"3,441.00"
10202,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF16061,LUBE FILTER,1,"5,256.00"
10203,13-Feb-18,CASH SALES - CUMMINS,LF3806,LUBE FILTER,2,"2,612.70"
10204,13-Feb-18,CASH SALES - CUMMINS,FS19532,FUEL/WATER SEPARATOR,2,"4,946.08"
10205,13-Feb-18,CASH SALES - CUMMINS,AF963,AIR FILTER-SECONDARY,2,"5,628.00"
10206,13-Feb-18,CASH SALES - CUMMINS,FF42000,FUEL FILTER SPIN-ON PLAST,2,"1,357.44"
10208,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AH8742,AIR CLEANER,1,"5,250.00"
10211,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,15,520
10212,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AF25557,AIR FILTER,1,"9,975.00"
10213,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),FF167,FUEL FILTER,1,"4,725.00"
10214,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,15,520
10215,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF16087,OIL FILTER CELLULOSE SPIN,1,"4,462.50"
10217,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AF26094,AIR FILTER-PRIMARY,1,"8,825.00"
10218,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AF26093,AIR CLEANER,1,"4,825.00"
10219,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,20,520
10220,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF16061,LUBE FILTER,1,"6,900.00"
10221,13-Feb-18,CUMMINS C&G LIMITED  - AFTERMARKET(KSH),FS1006,FUEL SEPARATOR,1,"3,049.71"
10222,13-Feb-18,CUMMINS C&G LIMITED  - AFTERMARKET(KSH),FF2203,FUEL FILTER,1,"1,221.00"
10223,13-Feb-18,CUMMINS C&G LIMITED  - AFTERMARKET(KSH),881949,PREMIUM BLUE,60,283.86
10224,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,20,520
10226,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF3959,OIL FILTER CELLULOSE SPIN,1,"1,742.00"
10228,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AF25910,AIR FILTER,1,"16,012.00"
10229,13-Feb-18,CITIBANK HOUSE,AF25129M,AIR FILTER,1,"7,993.00"
10230,13-Feb-18,CITIBANK HOUSE,WF2075,WATER FILTER,1,"4,100.00"
10231,13-Feb-18,CITIBANK HOUSE,881949,PREMIUM BLUE -1  LITRE,40,520
10232,13-Feb-18,CITIBANK HOUSE,FF5019,FUEL FILTER,1,"2,010.00"
10233,13-Feb-18,CITIBANK HOUSE,LF3883,LUBE FILTER,1,"4,816.00"
10234,13-Feb-18,CITIBANK HOUSE,881949,PREMIUM BLUE -1  LITRE,20,520
10236,13-Feb-18,CITIBANK HOUSE,LF667,LUBE FILTER,1,"1,757.00"
10238,13-Feb-18,CITIBANK HOUSE,LF777,OIL FILTER CELLULOSE SPIN,1,"5,842.00"
10242,13-Feb-18,CASH SALES - CUMMINS,LF16061,OIL FILTER COMBO SPINON,1,"2,000.00"
10245,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF701,OIL FILTER,2,"6,214.00"
10246,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AH1107,AIR CLEANER,1,"5,030.99"
10248,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF670,OIL FILTER CELLULOSE SPIN,1,"2,319.75"
10252,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,15,520
10253,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AF26044-C,DIRECT MOUNT AIR SYSTEM,1,"5,460.00"
10254,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF16087,OIL FILTER CELLULOSE SPIN,1,"2,940.00"
10257,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AF26044-C,DIRECT MOUNT AIR SYSTEM,1,"7,140.00"
10258,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,10,520
10259,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF16087,OIL FILTER CELLULOSE SPIN,1,"2,625.00"
10260,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF701,OIL FILTER,2,"3,045.00"
10261,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),FS19811,F/W/S CARTRIDGE,1,"2,152.50"
10263,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,20,520
10264,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,10,520
10265,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AF26093,AIR CLEANER,1,"11,816.10"
10266,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AF26094,AIR FILTER-PRIMARY,1,"2,786.60"
10268,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF16061,LUBE FILTER,1,"4,002.60"
10270,13-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF670,OIL FILTER CELLULOSE SPIN,1,"2,319.75"
10274,13-Feb-18,MWALIMU NATIONAL SACCO,LF3959,OIL FILTER CELLULOSE SPIN,1,"1,772.00"
10275,13-Feb-18,MWALIMU NATIONAL SACCO,881949,PREMIUM BLUE -1  LITRE,16,520
10277,13-Feb-18,MWALIMU NATIONAL SACCO,LF16061,LUBE FILTER,1,"4,525.00"
10278,13-Feb-18,MWALIMU NATIONAL SACCO,AF26094,AIR FILTER-PRIMARY,1,"13,357.00"
10279,13-Feb-18,MWALIMU NATIONAL SACCO,AF26093,AIR CLEANER,1,"3,150.00"
10281,13-Feb-18,MWALIMU NATIONAL SACCO,881949,PREMIUM BLUE -1  LITRE,15,520
10282,13-Feb-18,MWALIMU NATIONAL SACCO,LF16087,OIL FILTER CELLULOSE SPIN,1,"2,181.00"
10283,13-Feb-18,MWALIMU NATIONAL SACCO,881949,PREMIUM BLUE -1  LITRE,10,520
10284,13-Feb-18,MWALIMU NATIONAL SACCO,AF26044-C,DIRECT MOUNT AIR SYSTEM,1,"8,867.00"
10287,13-Feb-18,CASH SALES - CUMMINS,LF3806,LUBE FILTER,1,"1,800.00"
10288,13-Feb-18,MWALIMU NATIONAL SACCO,WF2074,WATER FILTER,1,"3,857.00"
10289,13-Feb-18,MWALIMU NATIONAL SACCO,FF5078,FUEL FILTER,1,"1,865.00"
10290,13-Feb-18,MWALIMU NATIONAL SACCO,LF3883,LUBE FILTER,1,"4,575.00"
10291,13-Feb-18,MWALIMU NATIONAL SACCO,881949,PREMIUM BLUE -1  LITRE,30,520
10292,13-Feb-18,CAR & GENERAL TRADING (MSA)  - AFTERMARKET(KSH),881949,PREMIUM BLUE,15,342
10294,13-Feb-18,CAR & GENERAL TRADING (MSA)  - AFTERMARKET(KSH),AF26094,AIR FILTER-PRIMARY,1,"4,695.00"
10296,13-Feb-18,CAR & GENERAL TRADING (MSA)  - AFTERMARKET(KSH),LF16061,LUBE FILTER,1,"1,575.00"
10297,13-Feb-18,CAR & GENERAL TRADING (MSA)  - AFTERMARKET(KSH),AF26093,AIR CLEANER,1,"1,654.00"
10299,13-Feb-18,MWALIMU NATIONAL SACCO,881949,PREMIUM BLUE -1  LITRE,200,520
10303,13-Feb-18,CASH SALES - CUMMINS,881949,PREMIUM BLUE,20,431.04
10304,13-Feb-18,CASH SALES - CUMMINS,LF3378,OIL FILTER COMBO SPINON,1,"1,439.66"
10307,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AF26094,AIR FILTER-PRIMARY,1,"6,067.20"
10308,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AF26093,AIR CLEANER,1,"2,307.00"
10309,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,10,520
10310,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF16061,LUBE FILTER,1,"3,780.00"
10313,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AF25904,AIR FILTER-PRIMARY,1,"10,274.60"
10314,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF16061,LUBE FILTER,1,"5,250.00"
10315,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),FF5524,COALESCER FILTER CARTRIDGE METAL,2,"2,625.00"
10316,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,10,520
10317,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),FS19831,FWS,1,"3,531.00"
10319,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF701,OIL FILTER,2,"2,594.25"
10320,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,25,520
10321,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),FF5114,FUEL FILTER SPINON,1,"5,880.00"
10322,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,10,520
10323,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF16011,LUBE FILTER (Reps LF3855),1,"5,460.00"
10325,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,10,520
10326,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF16087,OIL FILTER CELLULOSE SPIN,1,"2,625.00"
10327,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AF26044-C,DIRECT MOUNT AIR SYSTEM,1,"7,140.00"
10328,14-Feb-18,CASH SALES - CUMMINS,LF9009,OIL FILTER COMBO SPINION,2,"3,500.00"
10329,14-Feb-18,CASH SALES - CUMMINS,FS19532,FUEL/WATER SEPARATOR,2,"3,090.00"
10330,14-Feb-18,CASH SALES - CUMMINS,FF5135,FUEL FILTER SPINON,1,865
10331,14-Feb-18,CASH SALES - CUMMINS,LF9009,OIL FILTER COMBO SPINION,2,"3,500.00"
10332,14-Feb-18,CASH SALES - CUMMINS,FS19532,FUEL/WATER SEPARATOR,2,"3,090.00"
10333,14-Feb-18,CASH SALES - CUMMINS,FF5135,FUEL FILTER SPINON,1,865
10334,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AF25526,AIR FILTER-RADIAL SEAL PRIMARY,1,"6,825.00"
10335,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),881949,PREMIUM BLUE,25,520
10337,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF701,OIL FILTER,1,"6,900.60"
10340,14-Feb-18,CASH SALES - CUMMINS,AF872,AIR FILTER-PRIMARY,10,"9,200.00"
10341,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),FF167,FUEL FILTER,2,"1,500.00"
10342,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF3313,LUBE FILTER,2,"1,000.00"
10343,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),FF5135,FUEL FILTER SPINON,2,"3,500.00"
10344,14-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF3481,OIL FILTER COMBO SPINON,2,"2,500.00"
10345,14-Feb-18,CASH SALES - CUMMINS,FS1280,FUEL SEPARATOR,1,650
10695,14-Feb-18,K.B.SANGHANI & SONS,FS1000,FUEL/WATER SEPARATOR,2,"1,900.00"
10696,14-Feb-18,K.B.SANGHANI & SONS,FS19532,FUEL/WATER SEPARATOR,1,"3,200.00"
10698,15-Feb-18,RUKURIRI TEA FACTORY CO.LTD,LF670,OIL FILTER,4,"1,900.00"
10699,15-Feb-18,RUKURIRI TEA FACTORY CO.LTD,FF105,FUEL FILTER,4,"1,000.00"
10700,15-Feb-18,RUKURIRI TEA FACTORY CO.LTD,LF777,OIL FILTER CELLULOSE SPIN,2,"1,950.00"
10701,15-Feb-18,RUKURIRI TEA FACTORY CO.LTD,WF2075,WATER FILTER,1,"1,850.00"
10703,15-Feb-18,CAR & GENERAL TRADING (MSA)  - AFTERMARKET(KSH),AF25129M,AIR FILTER,4,"4,650.06"
10705,15-Feb-18,CAR & GENERAL TRADING (MSA)  - AFTERMARKET(KSH),AF25557,AIR FILTER,10,"2,480.99"
10706,15-Feb-18,CAR & GENERAL TRADING (MSA)  - AFTERMARKET(KSH),AF25558,AIR FILTER,10,"1,599.07"
10708,15-Feb-18,MULTIPLE HAULIERS (EA) LTD,FS19753,F/W/S,2,"6,450.00"
10710,15-Feb-18,MULTIPLE HAULIERS (EA) LTD,AF25997,AIR FILTER-RADIAL SEAL PRIMARY,1,"5,240.00"
10712,15-Feb-18,CAR & GENERAL TRADING (MSA)  - AFTERMARKET(KSH),AF332,AIR FILTER-PRIMARY,2,"5,001.85"
10713,15-Feb-18,CAR & GENERAL (UGANDA) LTD - AFTERMARKET(KSH),FS1280,FUEL SEPARATOR SPINON STR,23,618
10718,15-Feb-18,CASH SALES - CUMMINS,FS1275,FUEL FILTER,1,"2,166.00"
10719,15-Feb-18,CASH SALES - CUMMINS,LF700,OIL FILTER,1,"1,248.00"
10722,15-Feb-18,EQUITY BANK LTD,LF3883,LUBE FILTER,1,"3,076.00"
10723,15-Feb-18,EQUITY BANK LTD,FF5078,FUEL FILTER,1,"1,260.00"
10724,15-Feb-18,EQUITY BANK LTD,AF27840,DIRECT MOUNT AIR SYSTEM,1,"4,900.00"
10725,15-Feb-18,EQUITY BANK LTD,881949,PREMIUM BLUE,15,520
10726,15-Feb-18,EQUITY BANK LTD,WF2104,WATER FILTER,1,"2,600.00"
10729,15-Feb-18,CASH SALES - CUMMINS,FF42000,FUEL FILTER SPIN-ON PLAST,1,900
10730,15-Feb-18,CASH SALES - CUMMINS,AF25910,AIR FILTER,1,"12,000.00"
10732,15-Feb-18,CASH SALES - CUMMINS,FS1280,FUEL SEPARATOR SPINON STR,1,700
10733,15-Feb-18,EQUITY BANK LTD,LF670,OIL FILTER CELLULOSE SPIN,5,"2,340.00"
10734,15-Feb-18,EQUITY BANK LTD,881949,PREMIUM BLUE,200,520
10735,15-Feb-18,EQUITY BANK LTD,WF2075,WATER FILTER,2,"3,000.00"
10736,15-Feb-18,EQUITY BANK LTD,LF777,OIL FILTER CELLULOSE SPIN,2,"2,926.00"
10737,15-Feb-18,EQUITY BANK LTD,FS1006,FUEL SEPARATOR,2,"6,526.00"
10738,15-Feb-18,CASH SALES - CUMMINS,FS1280,FUEL SEPARATOR SPINON STR,1,900
10739,15-Feb-18,EQUITY BANK LTD,WF2104,WATER FILTER,2,"5,400.00"
10740,15-Feb-18,EQUITY BANK LTD,AF27840,DIRECT MOUNT AIR SYSTEM,2,"9,500.00"
10741,15-Feb-18,EQUITY BANK LTD,LF3883,LUBE FILTER,2,"3,687.00"
10742,15-Feb-18,EQUITY BANK LTD,FF5078,FUEL FILTER,2,"1,447.00"
10743,15-Feb-18,EQUITY BANK LTD,881949,PREMIUM BLUE,60,520
10744,15-Feb-18,RONGAI WORKSHOP TRANSPORT LTD,LF9070,LUBE FILTER,22,"3,800.00"
10745,15-Feb-18,EQUITY BANK LTD,LF9070,OIL FILTER COMBO SPINON,1,"6,575.00"
10746,15-Feb-18,EQUITY BANK LTD,881949,PREMIUM BLUE,100,520
10747,15-Feb-18,EQUITY BANK LTD,WF2126,DCA4 WATER FILTER,1,"4,120.00"
10749,15-Feb-18,EQUITY BANK LTD,AF26173,AIR CLEANER,1,"13,540.00"
10750,15-Feb-18,RONGAI WORKSHOP TRANSPORT LTD,LF9070,LUBE FILTER,22,"3,800.00"
10752,15-Feb-18,EQUITY BANK LTD,881949,PREMIUM BLUE -1  LITRE,15,520
10753,15-Feb-18,EQUITY BANK LTD,LF699,LUBE FILTER,1,"2,829.00"
10757,15-Feb-18,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE,45,468
10758,15-Feb-18,SERVICE CONTRACT DELIVERIES,FF5319,FUEL FILTER,1,"6,319.00"
10759,15-Feb-18,SERVICE CONTRACT DELIVERIES,LF691,OIL FILTER CELLULOSE SPIN,1,"5,772.00"
10774,16-Feb-18,BLOWPLAST LTD,AH1135M,AIR CLEANER,2,"22,149.90"
10775,16-Feb-18,BLOWPLAST LTD,LF777,OIL FILTER CELLULOSE SPIN,2,"3,267.90"
10776,16-Feb-18,BLOWPLAST LTD,WF2076,DCA4 WATER FILTER,2,"3,471.30"
10777,16-Feb-18,BLOWPLAST LTD,FS19870,FUEL / WATER SEPERATOR,2,"6,061.50"
10778,16-Feb-18,BLOWPLAST LTD,LF3363,OIL FILTER,4,"2,614.50"
10779,16-Feb-18,SERVICE CONTRACT DELIVERIES,FS19870,FUEL / WATER SEPERATOR,2,"7,287.30"
10780,16-Feb-18,SERVICE CONTRACT DELIVERIES,881949,PREMIUM BLUE,200,468
10781,16-Feb-18,SERVICE CONTRACT DELIVERIES,LF777,OIL FILTER CELLULOSE SPIN,2,"3,267.90"
10782,16-Feb-18,SERVICE CONTRACT DELIVERIES,LF3363,OIL FILTER,5,"3,292.00"
10783,16-Feb-18,SERVICE CONTRACT DELIVERIES,WF2074,WATER FILTER,4,"2,546.00"
10784,16-Feb-18,SERVICE CONTRACT DELIVERIES,AF25278,AIR FILTER-PRIMARY,2,"14,040.00"
10790,16-Feb-18,BLOWPLAST LTD,WF2074,WATER FILTER,2,"3,857.00"
10791,16-Feb-18,BLOWPLAST LTD,AH1135M,AIR CLEANER,2,"24,611.00"
10793,16-Feb-18,BLOWPLAST LTD,FS1006,FUEL SEPARATOR,1,"8,097.00"
10794,16-Feb-18,BLOWPLAST LTD,FF105,FUEL FILTER,1,"1,539.00"
10798,16-Feb-18,AGRO CHEMICAL & FOOD CO.LTD,AH1136,AIR CLEANER,1,"7,415.00"
10799,16-Feb-18,AGRO CHEMICAL & FOOD CO.LTD,LF3959,OIL FILTER CELLULOSE SPIN,1,"1,500.00"
10800,16-Feb-18,AGRO CHEMICAL & FOOD CO.LTD,881949,PREMIUM BLUE -1  LITRE,20,500
10801,16-Feb-18,AGRO CHEMICAL & FOOD CO.LTD,FF42000,FUEL FILTER SPIN-ON PLAST,1,"1,500.00"
10802,16-Feb-18,CASH SALES - CUMMINS,FF42000,FUEL FILTER SPIN-ON PLAST,1,900
10803,16-Feb-18,CASH SALES - CUMMINS,LF9009,OIL FILTER COMBO SPINION,1,"3,000.00"
10804,16-Feb-18,CASH SALES - CUMMINS,FS1280,FUEL SEPARATOR SPINON STR,2,700
10805,16-Feb-18,AGRO CHEMICAL & FOOD CO.LTD,WF2074,WATER FILTER,4,"3,490.30"
10806,16-Feb-18,AGRO CHEMICAL & FOOD CO.LTD,LF3363,OIL FILTER,4,"2,627.70"
10807,16-Feb-18,AGRO CHEMICAL & FOOD CO.LTD,FS1006,FUEL SEPARATOR,2,"7,326.40"
10808,16-Feb-18,AGRO CHEMICAL & FOOD CO.LTD,881949,PREMIUM BLUE -1  LITRE,200,500
10809,16-Feb-18,AGRO CHEMICAL & FOOD CO.LTD,881949,PREMIUM BLUE -1  LITRE,45,500
10810,16-Feb-18,AGRO CHEMICAL & FOOD CO.LTD,WF2075,WATER FILTER,1,"2,090.00"
10811,16-Feb-18,AGRO CHEMICAL & FOOD CO.LTD,AH1101,AIR FILTER,1,"21,414.90"
10812,16-Feb-18,AGRO CHEMICAL & FOOD CO.LTD,LF777,OIL FILTER CELLULOSE SPIN,1,"2,779.70"
10813,16-Feb-18,AGRO CHEMICAL & FOOD CO.LTD,LF3363,OIL FILTER,2,"5,652.50"
10816,16-Feb-18,PORTMARINE E.A.LIMITED,AF25454,AIR FILTER-RADIAL SEAL PRIMARY,2,80.09
10818,16-Feb-18,SIMBA CORPORATION LTD,FF5421,FUEL FILTER,2,"1,400.00"
10819,16-Feb-18,KENYA METHODIST UNIVERSITY (NBI),881949,PREMIUM BLUE,35,450
10820,16-Feb-18,KENYA METHODIST UNIVERSITY (NBI),AH1136,AIR CLEANER,2,"5,666.72"
10821,16-Feb-18,KENYA METHODIST UNIVERSITY (NBI),FF5421,FUEL FILTER,4,"2,941.00"
10822,16-Feb-18,KENYA METHODIST UNIVERSITY (NBI),LF16015,OIL FILTER CELLULOSE SPIN,2,"1,277.31"
10825,16-Feb-18,KENYA METHODIST UNIVERSITY (NBI),LF9009,OIL FILTER COMBO SPINON,1,"3,409.00"
10826,16-Feb-18,KENYA METHODIST UNIVERSITY (NBI),WF2054,WATER FILTER,1,"2,425.47"
10827,16-Feb-18,KENYA METHODIST UNIVERSITY (NBI),881949,PREMIUM BLUE,25,450
10828,16-Feb-18,TONER HOLDINGS LTD,LF777,OIL FILTER CELLULOSE SPIN,3,"1,800.00"
10829,16-Feb-18,TONER HOLDINGS LTD,WF2076,DCA4 WATER FILTER,3,"1,700.00"
10830,16-Feb-18,TONER HOLDINGS LTD,AF872,AIR FILTER-PRIMARY,3,"10,000.00"
10831,16-Feb-18,TONER HOLDINGS LTD,LF670,OIL FILTER CELLULOSE SPIN,6,"1,200.00"
10832,16-Feb-18,TONER HOLDINGS LTD,FF105,FUEL FILTER,6,"1,000.00"
10833,16-Feb-18,AGRO CHEMICAL & FOOD CO.LTD,AF872,AIR FILTER-PRIMARY,2,"10,515.59"
10834,16-Feb-18,CUMMINS C&G LIMITED  - AFTERMARKET(KSH),881949,PREMIUM BLUE,10,283.86
10836,16-Feb-18,EQUITY BANK LTD,881949,PREMIUM BLUE -1  LITRE,25,520
10849,17-Feb-18,CASH SALES - CUMMINS,881949,PREMIUM BLUE,5,298.9
10850,17-Feb-18,CASH SALES - CUMMINS,LF700,OIL FILTER,1,950
10851,17-Feb-18,CASH SALES - CUMMINS,AF26044-C,DIRECT MOUNT AIR SYSTEM,1,"5,000.00"
10852,17-Feb-18,CASH SALES - CUMMINS,FS1275,FUEL FILTER,1,"1,850.00"
10853,17-Feb-18,MWALIMU NATIONAL SACCO,AF26044-C,DIRECT MOUNT AIR SYSTEM,1,"8,867.00"
10855,17-Feb-18,MWALIMU NATIONAL SACCO,LF16087,OIL FILTER CELLULOSE SPIN,1,"2,181.00"
10856,17-Feb-18,MWALIMU NATIONAL SACCO,881949,PREMIUM BLUE -1  LITRE,10,520
10857,17-Feb-18,MWALIMU NATIONAL SACCO,LF16087,OIL FILTER CELLULOSE SPIN,1,"2,181.00"
10858,17-Feb-18,MWALIMU NATIONAL SACCO,881949,PREMIUM BLUE -1  LITRE,10,520
10859,17-Feb-18,MWALIMU NATIONAL SACCO,AF26044-C,DIRECT MOUNT AIR SYSTEM,1,"8,867.00"
10861,17-Feb-18,MWALIMU NATIONAL SACCO,AF26044-C,DIRECT MOUNT AIR SYSTEM,1,"8,867.00"
10863,17-Feb-18,MWALIMU NATIONAL SACCO,881949,PREMIUM BLUE -1  LITRE,10,520
10864,17-Feb-18,MWALIMU NATIONAL SACCO,LF16087,OIL FILTER CELLULOSE SPIN,1,"2,181.00"
10866,19-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),AH1100,AIR HOUSING-STANDARD,10,152
10867,19-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),FS19870,FUEL / WATER SEPERATOR,15,36
10868,19-Feb-18,C&G ENGINEERING  - AFTERMARKET(KSH),LF3325,LUBE FILTER,10,16
